uri,primary_name_display,replaced
http://dx.doi.org/10.13039/100017373,""13th Five-Year" Plan of Philosophy and Social Science Development in Guangzhou",
http://dx.doi.org/10.13039/100011942,"'s Heeren Loo",
http://dx.doi.org/10.13039/100017526,"1000 Talents Sichuan Program",
http://dx.doi.org/10.13039/501100017521,"13th Five-Year Weapons Innovation Foundation of China",
http://dx.doi.org/10.13039/501100013136,"151 Talent's Projects in the Second Level of Zhejiang Province",
http://dx.doi.org/10.13039/100001436,"1675 Foundation",
http://dx.doi.org/10.13039/100014385,"1998 Society",
http://dx.doi.org/10.13039/501100017522,"3315 Innovation Team in Ningbo City",
http://dx.doi.org/10.13039/501100012658,"3D Digital Media Technology Engineering Laboratory",
http://dx.doi.org/10.13039/100004343,"3M",
http://dx.doi.org/10.13039/100015579,"3M Foundation",
http://dx.doi.org/10.13039/501100009485,"40tude",
http://dx.doi.org/10.13039/501100012420,"5511 Science and Technology Innovation Talent Project of Jiangxi Province",
http://dx.doi.org/10.13039/100014044,"59th Medical Wing",
http://dx.doi.org/10.13039/100014047,"711th Human Performance Wing",
http://dx.doi.org/10.13039/501100005957,"8020 Promotion Foundation",
http://dx.doi.org/10.13039/100013575,"A Blade of Grass",
http://dx.doi.org/10.13039/100011913,"A Breath of Hope Lung Foundation",
http://dx.doi.org/10.13039/100015919,"A Glimmer of Hope",
http://dx.doi.org/10.13039/501100007139,"A Richer Life Foundation",
http://dx.doi.org/10.13039/100013399,"A Shelter for Cancer Families",
http://dx.doi.org/10.13039/100006543,"A World Celiac Community Foundation",
http://dx.doi.org/10.13039/501100009165,"A'Sharqiyah University",
http://dx.doi.org/10.13039/100001962,"A-T Children's Project",
http://dx.doi.org/10.13039/100011730,"A-T Society",
http://dx.doi.org/10.13039/501100008163,"A-T Society",R
http://dx.doi.org/10.13039/100008456,"A. Alfred Taubman Medical Research Institute",
http://dx.doi.org/10.13039/100001615,"A. E. Finley Foundation",
http://dx.doi.org/10.13039/501100010343,"A. J. Andersen og hustrus Fond",
http://dx.doi.org/10.13039/100008639,"A. James Clark School of Engineering",
http://dx.doi.org/10.13039/100001781,"A. Lindsay and Olive B. O'Connor Foundation",
http://dx.doi.org/10.13039/100008612,"A.B. de Lautour Charitable Trust",
http://dx.doi.org/10.13039/100009805,"A.F.W. Schimper-Stiftung für Ökologische Forschungen",
http://dx.doi.org/10.13039/501100004117,"A.G. Leventis Foundation",
http://dx.doi.org/10.13039/501100006448,"A.H. Schultz-Stiftung zur Förderung Primatologischer Forschung",
http://dx.doi.org/10.13039/501100014574,"A.I. Tech",
http://dx.doi.org/10.13039/501100008547,"A.J. Coops Stichting",
http://dx.doi.org/10.13039/100013576,"A.J. Muste Memorial Institute",
http://dx.doi.org/10.13039/100001733,"A.L. Mailman Family Foundation",
http://dx.doi.org/10.13039/501100019616,"A.O. Kovalevsky Institute of Biology of the Southern Seas",
http://dx.doi.org/10.13039/100002112,"A.P. Giannini Foundation",
http://dx.doi.org/10.13039/501100005747,"A.P. Møller og Hustru Chastine Mc-Kinney Møllers Fond til almene Formaal",
http://dx.doi.org/10.13039/100015078,"A.T. Still University",
http://dx.doi.org/10.13039/100003550,"AAA Foundation for Traffic Safety",
http://dx.doi.org/10.13039/100006329,"AABB",
http://dx.doi.org/10.13039/100006356,"AACC International",
http://dx.doi.org/10.13039/100006357,"AACCI Foundation",
http://dx.doi.org/10.13039/100006323,"AACCI Foundation",R
http://dx.doi.org/10.13039/100009747,"AADC Research Trust",
http://dx.doi.org/10.13039/100011558,"AADE Education and Research Foundation",
http://dx.doi.org/10.13039/100002543,"AAEP Foundation",
http://dx.doi.org/10.13039/501100005188,"AAIR Charity",
http://dx.doi.org/10.13039/100014741,"AAMN Foundation",
http://dx.doi.org/10.13039/100011570,"AAOHN Foundation",
http://dx.doi.org/10.13039/100009444,"AARP Foundation",
http://dx.doi.org/10.13039/100014954,"AATCC Foundation",
http://dx.doi.org/10.13039/100008598,"AAUP Foundation",
http://dx.doi.org/10.13039/501100002670,"ABB",
http://dx.doi.org/10.13039/501100013902,"ABB Corporate Research",
http://dx.doi.org/10.13039/501100014600,"ABB Corporate Research Center China",
http://dx.doi.org/10.13039/501100000314,"ABBEY AWARDS",
http://dx.doi.org/10.13039/100017480,"ABIM Foundation",
http://dx.doi.org/10.13039/100001443,"ABMRF/The Foundation for Alcohol Research",
http://dx.doi.org/10.13039/100008346,"AC3",
http://dx.doi.org/10.13039/100014387,"ACADIA Pharmaceuticals",
http://dx.doi.org/10.13039/100004442,"ACCCA",
http://dx.doi.org/10.13039/100015339,"ACCP Foundation",
http://dx.doi.org/10.13039/100017048,"ACE Foundation",
http://dx.doi.org/10.13039/100013767,"ACEA Biosciences",
http://dx.doi.org/10.13039/100011365,"ACEM Foundation",
http://dx.doi.org/10.13039/100005647,"ACG Institute for Clinical Research and Education",
http://dx.doi.org/10.13039/100005358,"ACMG Foundation for Genetic and Genomic Medicine",
http://dx.doi.org/10.13039/100013309,"ACPA Family Services",
http://dx.doi.org/10.13039/100014764,"ACS Division of Analytical Chemistry",
