Computer and information sciences
	Computer applications
		Catalogs
		Computer-aided design
		Computer-assisted instruction
		Web-based applications
	Information technology
		Data mining
		Data processing
		Data reduction
		Databases
			Relational databases
		Hypertext
		Information architecture
		Information processing
		Information storage and retrieval
		Natural language processing
			Named entity recognition
				Entity disambiguation
		Text mining
			Topic identification
	Information theory
		Background signal noise
		Channel capacity
		Channel coding
		Source coding
	Library science
	Programming languages
		Dynamic languages
		Fortran
		High level languages
		Programming language semantics
		Simulation languages
